172.28.128.100	22	ssh	OpenSSH	for_Windows_8.0	protocol 2.0
172.28.128.100	53	domain	Simple DNS Plus		
172.28.128.100	88	kerberos-sec	Microsoft Windows Kerberos		server time: 2021-04-26 08:37:08Z
172.28.128.100	135	msrpc	Microsoft Windows RPC		
172.28.128.100	139	netbios-ssn	Microsoft Windows netbios-ssn		
172.28.128.100	389	ldap	Microsoft Windows Active Directory LDAP		Domain: capsulecorp.local0., Site: Default-First-Site-Name
172.28.128.100	445	microsoft-ds			
172.28.128.100	464	kpasswd5			
172.28.128.100	593	ncacn_http	Microsoft Windows RPC over HTTP	1.0	
172.28.128.100	636	tcpwrapped			
172.28.128.100	3268	ldap	Microsoft Windows Active Directory LDAP		Domain: capsulecorp.local0., Site: Default-First-Site-Name
172.28.128.100	3269	tcpwrapped			
172.28.128.100	3389	ms-wbt-server	Microsoft Terminal Services		
172.28.128.100	5985	http	Microsoft HTTPAPI httpd	2.0	SSDP/UPnP
172.28.128.100	9389	mc-nmf	.NET Message Framing		
172.28.128.100	49666	msrpc	Microsoft Windows RPC		
172.28.128.100	49667	msrpc	Microsoft Windows RPC		
172.28.128.100	49669	msrpc	Microsoft Windows RPC		
172.28.128.100	49670	ncacn_http	Microsoft Windows RPC over HTTP	1.0	
172.28.128.100	49672	msrpc	Microsoft Windows RPC		
172.28.128.100	49685	msrpc	Microsoft Windows RPC		
172.28.128.100	49794	msrpc	Microsoft Windows RPC		
172.28.128.101	80	http	Microsoft IIS httpd	10.0	
172.28.128.101	445	microsoft-ds			
172.28.128.101	1801	msmq			
172.28.128.101	2103	msrpc	Microsoft Windows RPC		
172.28.128.101	2105	msrpc	Microsoft Windows RPC		
172.28.128.101	2107	msrpc	Microsoft Windows RPC		
172.28.128.101	3389	ms-wbt-server	Microsoft Terminal Services		
172.28.128.101	5985	http	Microsoft HTTPAPI httpd	2.0	SSDP/UPnP
172.28.128.101	49670	msrpc	Microsoft Windows RPC		
172.28.128.102	445	microsoft-ds			
172.28.128.102	3389	ms-wbt-server	Microsoft Terminal Services		
172.28.128.102	5985	http	Microsoft HTTPAPI httpd	2.0	SSDP/UPnP
172.28.128.102	8080	http	Jetty	9.4.27.v20200227	
172.28.128.103	445	microsoft-ds			
172.28.128.103	3389	ms-wbt-server	Microsoft Terminal Services		
172.28.128.103	5985	http	Microsoft HTTPAPI httpd	2.0	SSDP/UPnP
172.28.128.103	8009	ajp13	Apache Jserv		Protocol v1.3
172.28.128.103	8080	http	Apache Tomcat	9.0.30	
172.28.128.104	135	msrpc	Microsoft Windows RPC		
172.28.128.104	445	microsoft-ds	Windows 7 Professional 7601 Service Pack 1 microsoft-ds		workgroup: CAPSULECORP
172.28.128.104	3389	ms-wbt-server			
172.28.128.104	5985	http	Microsoft HTTPAPI httpd	2.0	SSDP/UPnP
sudo nmap -sS -p 22,53,88,135,139,389,445,464,593,636,3268,3269,3389,5985,9389,49666,49667,49669,49670,49672,49685,49794,80,1801,2103,2105,2107,8080,8009 -sV -A -vv -oA enumeration -iL ../ranges.txt
